Identifiant;Identifiant;Nom;Nom complet;Thème;Catégorie;Type;Adresse;Commune;Code postal;Téléphone;Site Web;Accès PMR;Informations accès mobilité réduite;URL;Géométrie
3664;1433;Espace Cosmopolis;Espace Cosmopolis Nantes;Culture;Salle d'exposition;;18 Rue Scribe;Nantes;44000;02 52 10 82 00;https://cosmopolis.nantes.fr/;Oui;ascenseur / rampe d'accès;https://metropole.nantes.fr/infonantes/equipement/E1433;"{""coordinates"": [-1.562351924866818, 47.214403748925804], ""type"": ""Point""}"
3687;4095;Zoo Galerie;Zoo Galerie;Culture;Salle d'exposition;;12 Rue Lamoricière;Nantes;44100;02 55 11 88 45;http://www.zoogalerie.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E4095;"{""coordinates"": [-1.5710990270095273, 47.21194168471727], ""type"": ""Point""}"
72;945;Ludothèque Maison aux Jeux;Ludothèque Maison aux Jeux;Culture;Médiathèque;Ludothèque;14 Rue Michel Rocher;Nantes;44200;02 40 35 75 67;http://maisondesjeux-nantes.org/;Non;;https://metropole.nantes.fr/infonantes/equipement/E945;"{""coordinates"": [-1.5496708959198209, 47.20626040232584], ""type"": ""Point""}"
134;2318;Musée de la Poste;Musée de la Poste;Culture;Musée, Château;Musée;2B Rue Président Edouard Herriot;Nantes;44000;02 51 83 37 12;;Non;;https://metropole.nantes.fr/infonantes/equipement/E2318;"{""coordinates"": [-1.5593281495582259, 47.218255986200724], ""type"": ""Point""}"
164;1456;Bibliothèque Cacault;Bibliothèque pour Tous Cacault;Culture;Médiathèque;Bibliothèque;12 Rue Cacault;Nantes;44000;02 40 20 46 76;;Non;;;"{""coordinates"": [-1.5577563495353945, 47.2166287841451], ""type"": ""Point""}"
313;127;Musée Dobrée;Musée Thomas-Dobrée;Culture;Musée, Château;Musée;18 Rue Voltaire;Nantes;44000;02 40 71 03 50;http://www.loire-atlantique.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E127;"{""coordinates"": [-1.5665754519928254, 47.21263578428968], ""type"": ""Point""}"
360;1809;Biblio. P. Eluard;Bibliothèque Paul Eluard;Culture;Médiathèque;Bibliothèque;32 Avenue des Plantes;Saint-Herblain;44800;02 40 40 51 41;https://bibli-pauleluard44.org/;Non;;https://metropole.nantes.fr/infonantes/equipement/E1809;"{""coordinates"": [-1.5856085141217982, 47.23413886879431], ""type"": ""Point""}"
422;3068;Bibliothèque;Bibliothèque pour tous;Culture;Médiathèque;Bibliothèque;76 Rue Edgar Quinet;Nantes;44100;02 40 43 57 55;;Non;;;"{""coordinates"": [-1.5856080019960654, 47.21482770663869], ""type"": ""Point""}"
556;1454;Bibliothèque Siège Social Nantes;Bibliothèque pour Tous;Culture;Médiathèque;Bibliothèque;1 Rue Mathelin Rodier;Nantes;44000;02 40 47 71 80;;Non;;;"{""coordinates"": [-1.550458635247878, 47.216673170379856], ""type"": ""Point""}"
641;4092;Galerie RDV;Galerie RDV;Culture;Salle d'exposition;;16 Allée Commandant Charcot;Nantes;44000;02 40 69 62 35;http://galerierdv.com;Non;;https://metropole.nantes.fr/infonantes/equipement/E4092;"{""coordinates"": [-1.5458010313887638, 47.21716293607712], ""type"": ""Point""}"
703;5023;Maison des Arts;Maison des Arts;Culture;Ecole Culturelle;;26 Rue de Saint Nazaire;Saint-Herblain;44800;02 28 25 25 80;https://maisondesarts.saint-herblain.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E5023;"{""coordinates"": [-1.6149129298811844, 47.21190519324032], ""type"": ""Point""}"
723;2733;Bibliothèque;Bibliothèque Municipale;Culture;Médiathèque;Bibliothèque;4 Place Dominique Savelli;La Chapelle-sur-Erdre;44240;02 40 77 89 91;http://biblio.lachapellesurerdre.fr/;Non;;https://metropole.nantes.fr/infonantes/equipement/E2733;"{""coordinates"": [-1.5503560141931771, 47.29592233335787], ""type"": ""Point""}"
730;1985;Cinéma Lutétia;Cinéma Lutétia;Culture;Cinéma;;18 Rue des Calvaires;Saint-Herblain;44800;02 51 80 03 54;http://www.cine-lutetia.net;Non;;https://metropole.nantes.fr/infonantes/equipement/E1985;"{""coordinates"": [-1.64975701528843, 47.21409212965849], ""type"": ""Point""}"
820;145;La Fabrique Chantenay-Bellevue;La Fabrique Chantenay-Bellevue;Culture;Salle de spectacle;;30 Boulevard de la Liberté;Nantes;44100;02 40 41 65 67;http://www.lafabrique.nantes.fr;Non;;https://metropole.nantes.fr/infonantes/equipement/E145;"{""coordinates"": [-1.5888287343206897, 47.19962518637241], ""type"": ""Point""}"
858;1425;Théâtre Pom';Théâtre Pom';Culture;Salle de spectacle;;44 Rue de Bel Air;Nantes;44000;;;Non;;;"{""coordinates"": [-1.5590442301850118, 47.223915380871034], ""type"": ""Point""}"
1103;944;Ludothèque Clos Toreau;Ludothèque Clos Toreau;Culture;Médiathèque;Ludothèque;4 Place du Muguet Nantais;Nantes;44200;02 40 34 19 27;https://www.accoord.fr//nc_centre/maison-des-confluences-csc-clos-toreau/;Non;;https://metropole.nantes.fr/infonantes/equipement/E944;"{""coordinates"": [-1.528127863591836, 47.19438425647275], ""type"": ""Point""}"
1111;2522;Médiathèque Y. et R. Gaudin;Médiathèque Yves et Raymond Gaudin;Culture;Médiathèque;Médiathèque;92 Rue Violin;La Montagne;44620;02 40 65 66 24;https://mediatheque-lamontagne.org/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E2522;"{""coordinates"": [-1.6851127315029273, 47.191590528554414], ""type"": ""Point""}"
1262;1958;Médiathèque Ormédo;Médiathèque Ormédo;Culture;Médiathèque;Médiathèque;2 Promenade de l'Europe;Orvault;44700;02 51 78 98 60;http://www.bibliotheques-orvault.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E1958;"{""coordinates"": [-1.6256086088444635, 47.27239217917125], ""type"": ""Point""}"
1459;3611;Bibliothèque Pt Chantilly;Bibliothèque Le Petit Chantilire;Culture;Médiathèque;Bibliothèque;48 Avenue Alexandre Goupil;Orvault;44700;02 40 63 97 95;http://www.bibliotheques-orvault.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E3611;"{""coordinates"": [-1.5991379238024428, 47.25432471744557], ""type"": ""Point""}"
1522;1251;Salle d'Expo. Chau de Procé;Salle d'Expositions Château de Procé;Culture;Salle d'exposition;;44 Rue des Dervallières;Nantes;44000;;;Non;;https://metropole.nantes.fr/infonantes/equipement/E1251;"{""coordinates"": [-1.5812539411859614, 47.223296128297164], ""type"": ""Point""}"
1654;2056;E. de Musique;Ecole municipale de musique;Culture;Ecole Culturelle;;130 Boulevard des Pas Enchantés;Saint-Sébastien-sur-Loire;44230;02 40 80 85 15;https://www.saintsebastien.fr/fr/ecole-municipale-de-musique/lecole-municipale-de-musique;Non;;;"{""coordinates"": [-1.500845989810839, 47.21001737457879], ""type"": ""Point""}"
1706;4773;Cour et Jardin;Espace Cour et Jardin;Culture;Ecole Culturelle;;1 Rue du Onze Novembre 1918;Vertou;44120;02 40 34 76 14;http://www.vertou.fr/;Oui;;https://metropole.nantes.fr/infonantes/equipement/E4773;"{""coordinates"": [-1.475505208918166, 47.16950224161913], ""type"": ""Point""}"
